State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Maharashtra,Akola,1,4543159,310000,1,2271579.5,15,8,0.270466418,0.270466418,0,0.716373134
Maharashtra,Amalner,1,4543159,310000,1,2271579.5,15,11,0.270466418,0.270466418,0,0.716373134
Maharashtra,Aurangabad,1,1175116,310000,1,587558,15,21,0.069801312,0.069801312,0,0.55584105
Maharashtra,Baramati,1,429600,310000,1,214800,15,29,0.02538411,0.02538411,0,0.520307288
Maharashtra,Bhandara,1,1200334,310000,1,600167,15,43,0.071303779,0.071303779,0,0.557043023
Maharashtra,Buldana,1,1200334,310000,1,600167,15,60,0.071303779,0.071303779,0,0.557043023
Maharashtra,Dharashiv,1,1657576,310000,1,828788,15,77,0.098545864,0.098545864,0,0.578836691
Maharashtra,Dhule,1,1657576,310000,1,828788,15,80,0.098545864,0.098545864,0,0.578836691
Maharashtra,Ichalkaranji,1,1657576,310000,1,828788,15,123,0.098545864,0.098545864,0,0.578836691
Maharashtra,Jalgaon,1,4229917,310000,1,2114958.5,15,130,0.251803729,0.251803729,0,0.701442983
Maharashtra,Jalna,1,1958483,310000,1,979241.5,15,131,0.116473644,0.116473644,0,0.593178915
Maharashtra,Jaysingpur,1,1958483,310000,1,979241.5,15,136,0.116473644,0.116473644,0,0.593178915
Maharashtra,Kolhapur,2,3876001,310000,1,1938000.5,15,158,0.230717718,0.230717718,0.015625,0.681449174
Maharashtra,Latur,2,3876001,310000,1,1938000.5,15,171,0.230717718,0.230717718,0.015625,0.681449174
Maharashtra,Mumbai,33,3085411,310000,1,1542705.5,15,191,0.183615045,0.183615045,0.5,0.546892036
Maharashtra,Nagpur,9,2405421,310000,1,1202710.5,15,196,0.143101826,0.143101826,0.125,0.589481461
Maharashtra,Nanded,1,913898,310000,1,456949,15,200,0.054238168,0.054238168,0,0.543390534
Maharashtra,Nashik,9,1486053,310000,1,743026.5,15,202,0.088326671,0.088326671,0.125,0.545661337
Maharashtra,Navi Mumbai,11,1120547,310000,1,560273.5,15,203,0.066550138,0.066550138,0.15625,0.52199011
Maharashtra,Palghar,1,68930,310000,1,34465,15,214,0.003895701,0.003895701,0,0.503116561
Maharashtra,Pune,39,5049968,310000,1,2524984,15,228,0.300661662,0.300661662,0.59375,0.62177933
Maharashtra,Sangamner,1,5049968,310000,1,2524984,15,251,0.300661662,0.300661662,0,0.74052933
Maharashtra,Sangli,1,502793,310000,1,251396.5,15,252,0.029744886,0.029744886,0,0.523795909
Maharashtra,Shegaon,1,156116,310000,1,78058,15,257,0.009090168,0.009090168,0,0.507272135
Maharashtra,Shirpur,1,16890,310000,1,8445,15,259,0.000795203,0.000795203,0,0.500636162
Maharashtra,Solapur,2,951558,310000,1,475779,15,267,0.056481919,0.056481919,0.015625,0.542060535
Maharashtra,Thane,8,1841488,310000,1,920744,15,274,0.109503183,0.109503183,0.109375,0.565727546
Maharashtra,Wardha,1,1841488,310000,1,920744,15,299,0.109503183,0.109503183,0,0.587602546
Manipur,Churachandpur,1,274143,153993,1,137071.5,16,67,0.016122115,0.016122115,0,0.512897692
Manipur,Imphal,2,456113,153993,1,228056.5,16,124,0.026963731,0.026963731,0.015625,0.518445985
Meghalaya,Shillong,1,541319,139602,1,270659.5,17,258,0.032040232,0.032040232,0,0.525632185
Mizoram,Aizawl,1,439000,200000,1,219500,18,6,0.025944154,0.025944154,0,0.520755323
Nagaland,Dimapur,2,182000,175374,1,91000,19,82,0.010632315,0.010632315,0.015625,0.505380852
Nagaland,Kohima,1,310000,175374,1,155000,19,157,0.018258445,0.018258445,0,0.514606756
Odisha,Angul,1,43795,145000,1,21897.5,20,17,0.00239818,0.00239818,0,0.501918544
Odisha,Balangir,1,43795,145000,1,21897.5,20,25,0.00239818,0.00239818,0,0.501918544
Odisha,Balasore,1,43795,145000,1,21897.5,20,26,0.00239818,0.00239818,0,0.501918544
Odisha,Bargarh,1,1481255,145000,1,740627.5,20,32,0.08804081,0.08804081,0,0.570432648
Odisha,Bhubaneswar,8,838837,145000,1,419418.5,20,50,0.049766098,0.049766098,0.109375,0.517937879
Odisha,Brahmapur,1,356598,145000,1,178299,20,57,0.021034713,0.021034713,0,0.516827771
Odisha,Cuttack,2,610189,145000,1,305094.5,20,70,0.036143447,0.036143447,0.015625,0.525789758
Odisha,Dhenkanal,1,1192811,145000,1,596405.5,20,79,0.070855565,0.070855565,0,0.556684452
Odisha,Jharsuguda,1,97730,145000,1,48865,20,138,0.00561158,0.00561158,0,0.504489264
Odisha,Raygada,1,967911,145000,1,483955.5,20,237,0.057456216,0.057456216,0,0.545964973
Odisha,Rourkela,1,309689,145000,1,154844.5,20,241,0.018239915,0.018239915,0,0.514591932
Odisha,Sambalpur,1,335761,145000,1,167880.5,20,248,0.019793263,0.019793263,0,0.51583461
Puducherry,Pondicherry,1,335761,145000,1,167880.5,21,224,0.019793263,0.019793263,0,0.51583461
Punjab,Amritsar,6,2490656,200000,1,1245328,22,14,0.148180054,0.148180054,0.078125,0.602919043
